mi1_root_id,postion_x,postion_y,postion_z,m6_x,m6_y,m6_z,theta,phi,hemisphere
720575940603042272,762756,219628,112240,751326,226747,129559,30.9,112.2,R
720575940603200428,738064,284448,88520,728473,279605,110468,4.7,132.3,R
720575940603327916,815492,361240,200160,793002,345071,205157,-9.3,7.9,R
720575940603935334,709620,358360,118360,699815,350321,127484,-43.3,112.8,R
720575940604151008,792092,312008,117760,770190,304482,139511,0.3,69.7,R
720575940604191456,743864,316052,96600,731086,308592,117324,-8.7,112.4,R
720575940604255712,749320,173400,144160,741632,180943,158288,61.6,125.3,R
720575940604508332,849044,252260,190200,819036,252726,200098,24.8,17.8,R
720575940604607678,820272,193240,216320,802352,199545,221294,52.2,-13.4,R
720575940604687532,806972,372880,193440,782979,355785,200746,-16.3,12.4,R
720575940604714929,810972,362020,211280,786813,351741,216496,-11,-3.8,R
720575940604947657,756724,240524,100680,744495,241993,120912,20.9,117.8,R
720575940605029856,728216,382820,143360,712077,370423,152352,-56.6,67.1,R
720575940605215665,826192,317568,159640,800340,306855,172665,5.4,36.5,R
720575940605262880,754420,360160,119720,736976,345710,139162,-27.2,72.9,R
720575940605478321,802748,374804,188120,778035,358752,195611,-18.5,16.7,R
720575940605581024,765140,394908,183360,747702,378292,188551,-41.6,16,R
720575940605668128,741776,173684,141360,735644,181974,153756,59.7,140.3,R
720575940606042814,738868,205368,114360,733686,211927,128148,35.9,134.6,R
720575940606057900,832416,342820,189760,804585,327785,198806,-0.8,11.7,R
720575940606333385,792728,199988,143320,773816,206881,162401,49.8,70.4,R
720575940606398240,757740,374668,137520,737613,360021,152670,-33.7,53.9,R
720575940606476478,752232,181092,132520,743764,191587,148911,53.7,120.2,R
720575940606513342,819320,216316,165480,794422,221852,178637,41.2,43.1,R
720575940606654386,816948,274632,138000,791662,275081,154560,12.9,57.9,R
720575940606665564,746048,355604,115720,728837,343373,133477,-28.8,82.5,R
720575940606712777,786096,340832,125720,762908,328889,145640,-11.4,63.1,R
720575940606721801,732072,274480,92200,724196,274489,110103,3.6,140.4,R
720575940606944898,823992,310756,151280,795343,304376,164951,4.1,43.1,R
720575940607228629,739580,181188,133720,733951,185640,148973,55.5,142.4,R
720575940607385283,850324,270428,193680,820822,266499,201558,18.8,14.4,R
720575940607730780,806700,304356,131080,782552,301099,149567,3.3,56.3,R
720575940607787138,835512,224900,219480,816019,228595,221981,37.3,-3.3,R
720575940608157635,809164,211648,154320,788603,220824,170449,41.8,53.1,R
720575940608211780,817428,230080,153360,793934,237024,166933,33.4,53.6,R
720575940608278281,828552,208604,187800,803703,214555,197138,44.4,24.2,R
720575940608309771,833080,218288,221520,814483,221375,223997,40.4,-6.7,R
720575940608431061,852912,262024,204800,822207,260418,212573,22,3.9,R
720575940608553155,834140,269040,158400,804485,268361,171148,17.8,41.1,R
