Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(169867, 39678, 1539)",,,,,,,Point,
"(169866, 39674, 2119)",,,,,,,Point,
"(171588, 42953, 2193)",,,,,,,Point,
"(172323, 43282, 2117)",,,,,,,Point,
"(171283, 42362, 2123)",,,,,,,Point,
"(170373, 43085, 2104)",,,,,,,Point,
"(171398, 44491, 2111)",,,,,,,Point,
"(172198, 43517, 2193)",,,,,,,Point,
"(171317, 44052, 2158)",,,,,,,Point,
"(172312, 44459, 2054)",,,,,,,Point,
"(173648, 47008, 1304)",,,,,,,Point,
"(174969, 43464, 1871)",,,,,,,Point,
"(174040, 41670, 1734)",,,,,,,Point,
"(171717, 40175, 2042)",,,,,,,Point,
"(170898, 39443, 2042)",,,,,,,Point,
"(170613, 37003, 1845)",,,,,,,Point,
"(170576, 37255, 1905)",,,,,,,Point,
"(169259, 37570, 1845)",,,,,,,Point,
"(159328, 43742, 2028)",,,,,,,Point,
"(159342, 43759, 1659)",,,,,,,Point,
"(160309, 38977, 1891)",,,,,,,Point,
"(167606, 48538, 1728)",,,,,,,Point,
"(163144, 48314, 1705)",,,,,,,Point,
"(166457, 43482, 1079)",,,,,,,Point,
"(165852, 41954, 1649)",,,,,,,Point,
"(166593, 38215, 1522)",,,,,,,Point,
"(160807, 40554, 2143)",,,,,,,Point,
"(171665, 42137, 1395)",,,,,,,Point,
"(173230, 44942, 2054)",,,,,,,Point,
