Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(106615, 47321, 2280)",,,,,,,Point,
"(106688, 48551, 2280)",,,,,,,Point,
"(109669, 46879, 2101)",,,,,,,Point,
"(105659, 47314, 2280)",,,,,,,Point,
"(109679, 45833, 2740)",,,,,,,Point,
"(108244, 43980, 2439)",,,,,,,Point,
"(111483, 47849, 2416)",,,,,,,Point,
"(106279, 46675, 2406)",,,,,,,Point,
"(108673, 48216, 2671)",,,,,,,Point,
"(109479, 49629, 2461)",,,,,,,Point,
"(118216, 48946, 2707)",,,,,,,Point,
"(120526, 43616, 2490)",,,,,,,Point,
"(119267, 43123, 2589)",,,,,,,Point,
"(119539, 42493, 2494)",,,,,,,Point,
"(119607, 43559, 2404)",,,,,,,Point,
"(119330, 44522, 2508)",,,,,,,Point,
"(119869, 43431, 2575)",,,,,,,Point,
"(120445, 43758, 2508)",,,,,,,Point,
"(120452, 43752, 2578)",,,,,,,Point,
"(119221, 47280, 2655)",,,,,,,Point,
"(119823, 45591, 2655)",,,,,,,Point,
"(119251, 40929, 2600)",,,,,,,Point,
"(115572, 39543, 2330)",,,,,,,Point,
"(114164, 37632, 2685)",,,,,,,Point,
"(113105, 36779, 2685)",,,,,,,Point,
"(113300, 39674, 2998)",,,,,,,Point,
"(117603, 40635, 3107)",,,,,,,Point,
"(116789, 44611, 3123)",,,,,,,Point,
"(119221, 47280, 2655)",,,,,,,Point,
"(118942, 46807, 2845)",,,,,,,Point,
"(118776, 46262, 2478)",,,,,,,Point,
"(116952, 37678, 2611)",,,,,,,Point,
"(120637, 43985, 2479)",,,,,,,Point,
"(120064, 43460, 2421)",,,,,,,Point,
