Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(172994, 58002, 3386)",,,,,,,Point,
"(176670, 58613, 3146)",,,,,,,Point,
"(177043, 71382, 3219)",,,,,,,Point,
"(170378, 72277, 2939)",,,,,,,Point,
"(180009, 62448, 3449)",,,,,,,Point,
"(180009, 62450, 3279)",,,,,,,Point,
"(164636, 57426, 4659)",,,,,,,Point,
"(159352, 74104, 4324)",,,,,,,Point,
"(166104, 78661, 4022)",,,,,,,Point,
"(163059, 77683, 3674)",,,,,,,Point,
"(169952, 75606, 2939)",,,,,,,Point,
"(170530, 47454, 4395)",,,,,,,Point,
"(176519, 46350, 3964)",,,,,,,Point,
"(170762, 53180, 5406)",,,,,,,Point,
"(168818, 51910, 5193)",,,,,,,Point,
"(180038, 59730, 4345)",,,,,,,Point,
"(180239, 56342, 3910)",,,,,,,Point,
"(180597, 53889, 3725)",,,,,,,Point,
"(179392, 54684, 3452)",,,,,,,Point,
"(163218, 75206, 4441)",,,,,,,Point,
"(164510, 66626, 4959)",,,,,,,Point,
"(166465, 57080, 5079)",,,,,,,Point,
"(176377, 48869, 4425)",,,,,,,Point,
