id,Round,edits
720575940604304742,round1_edits,10
720575940604345632,round1_edits,6
720575940604885792,round1_edits,9
720575940605791422,round1_edits,17
720575940606040352,round1_edits,8
720575940607245186,round1_edits,6
720575940607582729,round1_edits,2
720575940607603548,round1_edits,2
720575940607630172,round1_edits,3
720575940611063921,round1_edits,9
720575940611335666,round1_edits,8
720575940611532458,round1_edits,25
720575940611700430,round1_edits,10
720575940612646883,round1_edits,7
720575940613218418,round1_edits,4
720575940613681662,round1_edits,5
720575940613692414,round1_edits,6
720575940613735934,round1_edits,3
720575940613764862,round1_edits,8
720575940614282705,round1_edits,2
720575940614421471,round1_edits,6
720575940614499634,round1_edits,8
720575940615406698,round1_edits,7
720575940616021899,round1_edits,15
720575940616445638,round1_edits,3
720575940617087718,round1_edits,7
720575940617282117,round1_edits,10
720575940617283101,round1_edits,13
720575940617311574,round1_edits,100
720575940617979682,round1_edits,30
720575940618543445,round1_edits,8
720575940618639105,round1_edits,8
720575940619442113,round1_edits,16
720575940619768923,round1_edits,7
720575940619883758,round1_edits,11
720575940620019265,round1_edits,8
720575940620151873,round1_edits,5
720575940620275565,round1_edits,14
720575940620345429,round1_edits,6
720575940620465524,round1_edits,8
720575940620510657,round1_edits,13
720575940620605099,round1_edits,71
720575940620650661,round1_edits,5
720575940620658928,round1_edits,10
720575940620785030,round1_edits,8
720575940620883956,round1_edits,38
720575940621116353,round1_edits,25
720575940621250651,round1_edits,14
720575940621299369,round1_edits,11
720575940621487180,round1_edits,6
720575940621529309,round1_edits,7
720575940621608406,round1_edits,10
720575940621609430,round1_edits,13
720575940621610572,round1_edits,1
720575940622287228,round1_edits,30
720575940622449407,round1_edits,1
720575940622541252,round1_edits,22
720575940622814588,round1_edits,13
720575940622860314,round1_edits,20
720575940623262025,round1_edits,0
720575940623343613,round1_edits,11
720575940623634570,round1_edits,8
720575940623886055,round1_edits,4
720575940623958271,round1_edits,7
720575940624030990,round1_edits,7
720575940624063420,round1_edits,4
720575940624085944,round1_edits,7
720575940624169653,round1_edits,38
720575940624529229,round1_edits,5
720575940624739472,round1_edits,5
720575940624742032,round1_edits,7
720575940625622018,round1_edits,8
720575940625622274,round1_edits,14
720575940625796622,round1_edits,27
720575940626194718,round1_edits,0
720575940626354057,round1_edits,5
720575940626557065,round1_edits,13
720575940626711358,round1_edits,4
720575940628100395,round1_edits,15
