Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(140607, 45962, 2269)",,,,,,,Point,
"(145523, 38845, 2510)",,,,,,,Point,
"(142305, 38883, 2510)",,,,,,,Point,
"(142303, 38888, 1780)",,,,,,,Point,
"(150782, 46363, 1987)",,,,,,,Point,
"(148123, 45857, 2733)",,,,,,,Point,
"(142974, 51746, 2594)",,,,,,,Point,
"(141212, 50884, 2336)",,,,,,,Point,
"(141225, 50835, 2576)",,,,,,,Point,
"(144399, 43667, 2809)",,,,,,,Point,
"(142437, 44225, 2809)",,,,,,,Point,
"(145220, 51405, 2411)",,,,,,,Point,
"(150652, 43843, 1798)",,,,,,,Point,
"(154490, 44474, 1948)",,,,,,,Point,
"(150694, 39461, 3020)",,,,,,,Point,
"(144046, 46985, 2789)",,,,,,,Point,
"(143683, 48652, 2004)",,,,,,,Point,
"(152864, 48867, 1702)",,,,,,,Point,
"(150524, 52328, 2112)",,,,,,,Point,
"(151629, 48013, 1640)",,,,,,,Point,
