Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(132037, 49168, 1289)",,,,,,,Point,
"(139559, 49882, 1289)",,,,,,,Point,
"(139564, 49881, 2959)",,,,,,,Point,
"(120689, 50072, 2959)",,,,,,,Point,
"(120690, 50073, 1269)",,,,,,,Point,
"(120698, 54612, 1269)",,,,,,,Point,
"(120698, 54611, 2969)",,,,,,,Point,
"(139565, 54610, 2959)",,,,,,,Point,
"(139561, 54610, 1289)",,,,,,,Point,
"(140196, 37008, 1289)",,,,,,,Point,
"(139566, 37001, 2959)",,,,,,,Point,
"(120691, 36999, 2959)",,,,,,,Point,
"(120692, 37001, 1269)",,,,,,,Point,
