Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(179310, 60688, 3109)",,,,,,,Point,
"(177240, 66958, 3100)",,,,,,,Point,
"(180820, 61017, 2736)",,,,,,,Point,
"(183297, 61371, 2702)",,,,,,,Point,
"(180971, 62359, 2690)",,,,,,,Point,
"(180821, 61021, 2656)",,,,,,,Point,
"(182802, 62263, 2655)",,,,,,,Point,
"(184689, 61816, 3262)",,,,,,,Point,
"(175815, 71795, 3003)",,,,,,,Point,
"(175004, 77180, 2954)",,,,,,,Point,
"(174367, 83455, 2983)",,,,,,,Point,
"(173879, 87513, 3357)",,,,,,,Point,
"(175074, 92698, 3910)",,,,,,,Point,
"(182125, 97560, 4803)",,,,,,,Point,
"(183886, 93261, 4742)",,,,,,,Point,
"(182819, 88496, 4222)",,,,,,,Point,
"(184395, 85743, 4017)",,,,,,,Point,
"(187688, 83788, 4215)",,,,,,,Point,
"(190453, 92760, 5370)",,,,,,,Point,
"(194208, 87576, 5440)",,,,,,,Point,
"(196051, 86051, 5515)",,,,,,,Point,
"(196967, 84205, 5612)",,,,,,,Point,
"(197568, 82324, 5707)",,,,,,,Point,
"(199485, 80372, 5722)",,,,,,,Point,
"(200576, 79295, 5690)",,,,,,,Point,
"(202808, 80708, 5629)",,,,,,,Point,
"(203815, 78732, 5629)",,,,,,,Point,
"(201839, 77401, 5698)",,,,,,,Point,
"(203279, 73900, 5765)",,,,,,,Point,
"(204931, 68891, 5651)",,,,,,,Point,
"(204320, 68505, 5711)",,,,,,,Point,
"(206341, 68494, 5686)",,,,,,,Point,
"(203359, 68170, 5684)",,,,,,,Point,
"(203369, 67370, 5714)",,,,,,,Point,
"(203155, 67388, 5692)",,,,,,,Point,
"(202677, 67272, 5451)",,,,,,,Point,
"(202607, 64982, 5805)",,,,,,,Point,
"(202560, 62365, 5800)",,,,,,,Point,
"(208085, 64872, 5765)",,,,,,,Point,
"(202036, 60514, 5721)",,,,,,,Point,
"(202709, 56165, 5669)",,,,,,,Point,
"(201968, 55616, 5679)",,,,,,,Point,
"(200019, 51157, 5563)",,,,,,,Point,
"(198700, 51239, 5479)",,,,,,,Point,
"(197219, 47264, 5427)",,,,,,,Point,
"(199430, 47627, 5414)",,,,,,,Point,
"(202655, 49373, 5220)",,,,,,,Point,
"(201709, 49496, 5453)",,,,,,,Point,
"(201808, 50701, 5522)",,,,,,,Point,
"(201624, 52834, 5616)",,,,,,,Point,
"(194688, 44130, 5236)",,,,,,,Point,
"(190870, 42197, 4885)",,,,,,,Point,
"(188211, 41625, 4436)",,,,,,,Point,
"(187807, 44061, 4642)",,,,,,,Point,
"(184204, 44571, 4017)",,,,,,,Point,
"(184675, 46187, 4168)",,,,,,,Point,
"(181577, 49460, 3617)",,,,,,,Point,
