Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(82900, 58159, 4042)",,,,,,,Point,
"(85189, 59118, 3872)",,,,,,,Point,
"(95274, 61020, 3872)",,,,,,,Point,
"(95268, 46235, 5013)",,,,,,,Point,
"(97566, 44523, 5985)",,,,,,,Point,
"(88708, 41355, 6099)",,,,,,,Point,
"(85386, 55106, 5241)",,,,,,,Point,
"(80901, 49985, 4421)",,,,,,,Point,
"(80344, 54470, 4421)",,,,,,,Point,
"(79976, 57527, 4261)",,,,,,,Point,
"(82083, 63207, 4708)",,,,,,,Point,
"(90294, 59317, 5405)",,,,,,,Point,
"(97112, 79251, 4790)",,,,,,,Point,
"(108743, 69197, 4790)",,,,,,,Point,
"(84701, 68488, 4069)",,,,,,,Point,
"(89465, 68999, 3689)",,,,,,,Point,
"(89341, 71644, 3689)",,,,,,,Point,
"(93343, 46142, 4744)",,,,,,,Point,
"(87438, 39856, 4789)",,,,,,,Point,
"(85087, 46893, 5419)",,,,,,,Point,
"(84458, 50262, 4179)",,,,,,,Point,
"(81076, 53460, 4197)",,,,,,,Point,
"(81578, 62991, 4355)",,,,,,,Point,
