Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(94713, 88244, 4274)",,,,,,,Point,
"(73817, 87309, 6846)",,,,,,,Point,
"(82631, 95375, 5912)",,,,,,,Point,
"(85599, 53507, 3820)",,,,,,,Point,
"(83201, 43857, 4406)",,,,,,,Point,
"(64712, 56082, 6956)",,,,,,,Point,
"(64942, 75225, 7687)",,,,,,,Point,
"(60285, 55587, 7106)",,,,,,,Point,
"(61115, 34353, 5469)",,,,,,,Point,
"(78785, 39329, 5338)",,,,,,,Point,
"(73974, 37227, 6007)",,,,,,,Point,
"(69123, 36820, 4208)",,,,,,,Point,
"(77133, 43254, 3539)",,,,,,,Point,
"(51935, 59567, 3891)",,,,,,,Point,
"(53141, 77388, 3891)",,,,,,,Point,
"(65641, 97525, 5248)",,,,,,,Point,
"(53331, 81648, 6676)",,,,,,,Point,
"(55149, 51037, 7155)",,,,,,,Point,
"(83252, 59340, 2761)",,,,,,,Point,
"(69575, 94042, 4274)",,,,,,,Point,
"(83422, 82975, 3593)",,,,,,,Point,
